,temparature,humidity,gasAnalog,flameDetected,fireStatus
,32,75,2619,TRUE,FALSE
,3.189.999.962,75,1669,TRUE,FALSE
,3.170.000.076,75,503,FALSE,FALSE
,31.5,75,496,FALSE,FALSE
,3.129.999.924,75,511,TRUE,FALSE
,3.110.000.038,75,511,TRUE,FALSE
,3.020.000.076,69,682,FALSE,FALSE
,3.020.000.076,69,663,FALSE,FALSE
,3.029.999.924,69,668,FALSE,FALSE
,3.029.999.924,69,671,FALSE,FALSE
,3.029.999.924,69,671,FALSE,FALSE
,3.029.999.924,69,681,FALSE,FALSE
,3.029.999.924,68,670,FALSE,FALSE
,3.039.999.962,68,675,FALSE,FALSE
,3.039.999.962,68,675,FALSE,FALSE
,3.039.999.962,68,686,FALSE,FALSE
,3.039.999.962,68,675,FALSE,FALSE
,30.5,68,681,FALSE,FALSE
,30.5,68,681,FALSE,FALSE
,30.5,68,674,FALSE,FALSE
,30.5,68,681,FALSE,FALSE
,30.5,68,677,FALSE,FALSE
,3.060.000.038,68,688,FALSE,FALSE
,3.060.000.038,68,691,FALSE,FALSE
,3.060.000.038,67,687,FALSE,FALSE
,3.060.000.038,67,697,FALSE,FALSE
,3.070.000.076,67,683,FALSE,FALSE
,3.070.000.076,67,693,FALSE,FALSE
,3.070.000.076,67,702,FALSE,FALSE
,3.079.999.924,67,698,FALSE,FALSE
,3.079.999.924,67,699,FALSE,FALSE
,3.079.999.924,67,705,FALSE,FALSE
,31,67,699,FALSE,FALSE
,31,66,721,FALSE,FALSE
,31,66,711,FALSE,FALSE
,31,66,715,FALSE,FALSE
,31,66,733,FALSE,FALSE
,3.110.000.038,65,746,FALSE,FALSE
,3.110.000.038,65,714,FALSE,FALSE
,3.120.000.076,65,736,FALSE,FALSE
,3.120.000.076,65,727,FALSE,FALSE
,3.120.000.076,65,728,FALSE,FALSE
,3.129.999.924,65,744,FALSE,FALSE
,3.129.999.924,65,727,FALSE,FALSE
,3.139.999.962,64,743,FALSE,FALSE
,3.139.999.962,64,756,FALSE,FALSE
,31.5,64,752,FALSE,FALSE
,31.5,64,762,FALSE,FALSE
,3.160.000.038,64,768,FALSE,FALSE
,3.160.000.038,64,784,FALSE,FALSE
,3.170.000.076,64,779,FALSE,FALSE
,3.170.000.076,64,784,FALSE,FALSE
,3.179.999.924,64,775,FALSE,FALSE
,3.179.999.924,64,782,FALSE,FALSE
,3.179.999.924,64,799,FALSE,FALSE
,3.189.999.962,63,795,FALSE,FALSE
,32,63,824,FALSE,FALSE
,32,63,821,FALSE,FALSE
,32,63,832,FALSE,FALSE
,3.209.999.847,63,839,FALSE,FALSE
,3.209.999.847,63,859,FALSE,FALSE
,3.220.000.076,63,880,FALSE,FALSE
,3.220.000.076,63,888,FALSE,FALSE
,3.229.999.924,63,918,FALSE,FALSE
,3.240.000.153,63,988,TRUE,FALSE
,3.240.000.153,63,1101,TRUE,FALSE
,32.5,63,1334,TRUE,FALSE
,32.5,63,1660,FALSE,FALSE
,3.259.999.847,63,2209,TRUE,FALSE
,3.259.999.847,63,2523,TRUE,FALSE
,3.270.000.076,63,1846,FALSE,FALSE
,3.279.999.924,63,2702,TRUE,FALSE
,3.279.999.924,63,4095,FALSE,FALSE
,3.290.000.153,63,3778,TRUE,FALSE
,3.290.000.153,63,2833,TRUE,FALSE
,33,63,1702,TRUE,FALSE
,33,63,2352,TRUE,FALSE
,33,63,4095,FALSE,FALSE
,33.100,63,3517,TRUE,FALSE
,3.309.999.847,63,724,TRUE,FALSE
,3.309.999.847,63,812,FALSE,FALSE
,3.320.000.076,64,971,FALSE,FALSE
,3.320.000.076,64,1283,FALSE,FALSE
,3.320.000.076,64,1626,FALSE,FALSE
,3.320.000.076,64,552,FALSE,FALSE
,3.320.000.076,64,542,TRUE,FALSE
,3.320.000.076,65,555,TRUE,FALSE
,3.309.999.847,65,542,FALSE,FALSE
,3.309.999.847,65,563,FALSE,FALSE
,3.309.999.847,65,561,TRUE,FALSE
,33,65,584,TRUE,FALSE
,33,66,607,TRUE,FALSE
,33,66,653,TRUE,FALSE
,3.290.000.153,66,711,FALSE,FALSE
,3.290.000.153,67,804,FALSE,FALSE
,3.279.999.924,67,560,FALSE,FALSE
,3.270.000.076,67,576,TRUE,FALSE
,3.270.000.076,67,580,FALSE,FALSE
,3.259.999.847,67,545,FALSE,FALSE
,32.5,68,547,TRUE,FALSE
,3.240.000.153,68,528,FALSE,FALSE
,3.240.000.153,68,539,FALSE,FALSE
,3.229.999.924,68,546,FALSE,FALSE
,3.229.999.924,69,528,FALSE,FALSE
,3.220.000.076,69,533,FALSE,FALSE
,3.220.000.076,69,528,FALSE,FALSE
,2.910.000.038,78,571,FALSE,FALSE
,2.910.000.038,78,565,FALSE,FALSE
,2.910.000.038,78,563,FALSE,FALSE
,2.910.000.038,78,571,FALSE,FALSE
,2.910.000.038,78,570,FALSE,FALSE
,2.910.000.038,78,565,FALSE,FALSE
,2.910.000.038,78,577,FALSE,FALSE
,2.910.000.038,78,566,FALSE,FALSE
,2.910.000.038,78,562,FALSE,FALSE
,2.910.000.038,78,559,FALSE,FALSE
,2.910.000.038,78,575,FALSE,FALSE
,2.910.000.038,78,576,FALSE,FALSE
,2.910.000.038,78,561,FALSE,FALSE
,2.910.000.038,78,571,FALSE,FALSE
,2.910.000.038,78,576,FALSE,FALSE
,2.910.000.038,78,569,FALSE,FALSE
,2.910.000.038,78,587,FALSE,FALSE
,2.910.000.038,78,576,FALSE,FALSE
,2.910.000.038,78,560,FALSE,FALSE
,2.910.000.038,78,578,FALSE,FALSE
,2.910.000.038,78,571,FALSE,FALSE
,2.910.000.038,78,576,FALSE,FALSE
,2.910.000.038,78,560,FALSE,FALSE
,2.910.000.038,78,576,FALSE,FALSE
,2.910.000.038,78,572,FALSE,FALSE
,2.920.000.076,78,574,FALSE,FALSE
,2.920.000.076,78,571,FALSE,FALSE
,2.920.000.076,78,570,FALSE,FALSE
,2.920.000.076,78,575,FALSE,FALSE
,2.920.000.076,78,590,FALSE,FALSE
,2.920.000.076,78,577,FALSE,FALSE
,2.920.000.076,79,582,FALSE,FALSE
,2.920.000.076,79,581,FALSE,FALSE
,2.920.000.076,79,586,FALSE,FALSE
,2.920.000.076,79,574,FALSE,FALSE
,2.920.000.076,79,587,FALSE,FALSE
,2.920.000.076,79,587,FALSE,FALSE
,2.920.000.076,79,603,FALSE,FALSE
,2.920.000.076,79,623,FALSE,FALSE
,2.920.000.076,79,611,FALSE,FALSE
,2.920.000.076,79,592,FALSE,FALSE
,2.920.000.076,79,589,FALSE,FALSE
,2.920.000.076,79,576,FALSE,FALSE
,2.920.000.076,79,579,FALSE,FALSE
,2.920.000.076,78,592,FALSE,FALSE
,2.920.000.076,78,587,FALSE,FALSE
